Id,SalePrice
2658,126737.97993147903
2718,196129.7609385423
2414,187699.35085269873
1989,106992.34331152127
625,162725.4547307308
333,104701.65445027051
1327,113694.86253579715
858,157616.74457316514
95,197727.10900865338
1568,152252.65799146247
2482,172452.38734482214
1364,135557.3084394455
2584,160241.04268241418
818,268313.06236402714
2673,136952.60282615223
2089,117393.70563680625
1297,162946.79286670234
790,123658.08933131275
2616,179262.2505330274
720,175580.67657129472
222,133826.21563514118
557,121319.34398719245
1148,207625.6901760728
2766,145258.11995361486
534,189776.2086859039
1452,124192.81613970686
630,133398.00445727928
2648,135653.05695556942
125,146375.63811430134
1904,55192.99073757374
1670,110611.82168770274
756,103428.65415896734
717,197821.1514193219
1032,154914.82110629926
852,215363.75034140734
1731,184661.16613220313
2639,93777.74581208808
2071,83709.88024910243
1267,113838.46249796111
1851,202926.75965833545
567,161763.705065284
2439,208189.67841409525
1898,152277.25663226398
647,136724.02188472115
2256,213274.41235198954
979,109272.20425195388
1444,206573.7759611446
2485,126710.27758480297
157,118768.31473048212
88,124497.65455401423
2003,122244.0802132577
186,192721.31829509092
1425,255796.46154873687
2695,137455.43976913914
738,116028.85190236593
395,146396.83305080736
1353,154723.85753501084
1878,139741.71602179404
390,173336.8558065702
1456,220503.24773960147
1103,328994.31299477065
1387,134768.34128758308
2070,131569.12866053087
1199,181059.82092927385
2479,173796.64803434946
501,331235.359416801
2362,101405.47513608278
1718,195833.51820263217
2188,93082.34008704877
1483,144523.17978051532
2557,100930.26736022568
437,351551.7840314489
2224,189742.4075794709
1628,171478.73760142885
397,125175.05323511649
587,200684.45872962094
971,135862.7255410615
2611,143506.33936674925
1887,102319.95310303102
2399,340840.5965543951
2148,210155.2307615479
304,132694.14317323442
1997,134869.6150547296
2817,121476.53201693804
1431,174503.6860988406
427,401253.1600179057
263,126981.51250150257
598,166181.10709390652
2895,236407.10032834584
687,136214.6746738408
1822,130079.6107417489
2191,99095.74970278185
179,109983.7677729939
1009,219737.25170099645
2010,122641.74504293596
1991,150795.7380748355
1411,160897.15860041388
1721,259506.13603061752
1144,182158.92808556938
593,211245.6082769434
575,295565.2142935679
1249,174755.95229980358
1604,116646.76460867265
1064,509349.4598769953
1923,145192.2371373631
1988,115502.23576367025
2325,165188.69666947873
114,196610.1940469342
2700,208724.09470241255
217,135748.22483908487
343,165692.70715888558
386,235851.84925970007
2005,111366.41669849058
2908,125268.16098300743
1814,213007.2212488752
2446,559286.4300517461
208,133791.1375678658
1679,124095.12814145838
822,310845.5083308947
6,178830.2217633135
1781,408928.3533172993
2397,298812.80346035096
2340,298781.611137844
1618,155693.21973897849
2843,113865.76583281883
1061,373285.71197229257
2786,123187.10068162672
1935,130213.38831123195
1341,118915.75467269488
521,271794.57837910723
2136,133565.55910495858
996,169156.40808637804
227,131870.88025150268
135,149592.60252153748
1167,158060.8738262738
294,224516.39796467105
1776,214776.19746077753
540,181042.7719486571
1717,206216.84282014403
2303,111857.3456019437
116,184595.84367600284
127,130987.73263844803
1371,140670.15398000708
1014,180573.8273041381
1507,105391.82962364765
702,135159.44422000318
750,164088.58801810697
261,147575.51215726163
1559,79477.25222996036
577,257089.8674310587
2812,199945.28014502802
2080,166576.96060689143
1368,115731.71755220256
2376,115967.75942678664
659,102229.3012713672
1235,126853.43248317752
332,100965.57200423184
1917,138333.84838712058
2094,237805.87694883882
1460,269540.46312919277
1471,195209.48438683705
1509,121609.87340095155
1922,124640.88375461436
433,549444.2482167975
460,284405.8605158016
1116,245771.7961303401
1137,166525.80080936983
53,180365.30673848558
2354,248863.4412915781
1475,207418.06886170013
1761,831188.8032189723
842,133643.46644510562
2739,166829.01594077505
2509,161243.48125291348
1007,203511.64005790764
2610,172739.93050669058
1952,101900.84093363953
2719,194502.8675838294
2921,104701.65445027051
1966,133225.74483108413
292,118148.74313586575
1204,198846.48079238835
1829,260700.04690129982
2419,190941.105867134
391,164039.62361217823
798,113284.68249892491
481,182156.83806849743
193,174277.54322337697
555,122583.81995883973
899,69523.66749611784
2357,182292.21001676074
328,118423.13676227415
1356,99516.03855852847
1154,114490.63379888535
1730,175826.62072635378
2249,129946.77275742091
1119,251693.29407416002
2856,135989.45682585821
1394,133249.47964437137
2587,118664.87730100293
61,346721.7913150538
2661,176088.4223701799
2711,129068.75538192816
1147,180848.603828859
757,146298.7082886958
2623,97936.50943959081
2378,147549.55092657756
1413,130979.27833118847
1722,234298.79268402685
1112,197780.51617951307
1623,171518.30925722123
1201,192249.18642322806
1513,109915.2440986054
957,258346.21256924781
1171,276013.8383065937
1145,198435.75856420252
2726,233173.15405148533
703,128317.9240586949
760,95302.08471986948
1964,132889.07587067605
2512,179194.06895563274
159,141057.3377368244
1281,160141.666461545
468,166964.95678836686
290,125974.40999761947
665,92878.87285879944
1463,272410.3585765741
1792,218836.3844084124
923,148620.5005000315
500,281799.52752386953
1408,140092.4907995608
331,91454.59417150034
170,132653.2116379386
2192,101845.65147308138
2571,293351.7949991498
2314,153970.9050112509
2647,97811.74965305961
422,433658.3055612
2457,370706.4259220678
1838,209397.84958369393
2805,255373.01136261938
1645,165992.27033192053
1711,317974.0056680596
2825,227437.57308529547
322,351709.639759147
2103,273302.9045713235
342,129145.88367518628
600,108391.06071362953
488,177616.57756941995
1725,365427.8014647698
2246,255558.32717741645
2847,153561.94913448248
806,244535.92073197794
530,223350.1329345137
963,190063.7676299693
2678,101323.72600712575
